domain_name,labels,tld,registration_state,registration_contact,expiration_date,renew_by,auto_renews,premium_domain,renewal_price,whois_privacy,dnssec,registry_name_server_records,zone_name_server_records,zone_active,reverse,has_secondary,zone_providers,certificates_count,email_forwards_count
steipete.me,,me,registered,PS-Alserbach,2026-03-12 08:29:41 UTC,2026-04-24 00:00:00 UTC,true,false,29.50,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.com,,com,registered,PS-Alserbach,2026-03-12 08:27:46 UTC,2026-04-16 00:00:00 UTC,true,false,15.50,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,4,0
petersteinberger.com,,com,registered,PS-Alserbach,2026-09-27 16:51:04 UTC,2026-11-09 16:51:04 UTC,true,false,15.50,true,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,4,1
sweetistics.com,,com,registered,PS-Alserbach,2026-03-23 01:08:27 UTC,2026-04-27 00:00:00 UTC,true,false,15.50,false,false,"ns1.vercel-dns.com,ns2.vercel-dns.com","ns1.vercel-dns.com,ns2.vercel-dns.com",true,false,,,0,1
steipete.blog,,blog,hosted,PS-Alserbach,,,false,false,,false,false,,"ns1.dnsimple.com,ns2.dnsimple.com,ns3.dnsimple.com,ns4.dnsimple.com",true,false,,,0,0
petersteinberger.me,,me,registered,PS-Alserbach,2026-03-05 12:52:27 UTC,2026-04-17 00:00:00 UTC,true,false,29.50,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.io,,io,registered,PS-Alserbach,2026-03-20 09:01:30 UTC,2026-04-24 00:00:00 UTC,true,false,67.90,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.wtf,,wtf,registered,PS-Alserbach,2026-06-05 02:58:56 UTC,2026-07-18 00:00:00 UTC,true,false,46.10,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,1
steipete.at,,at,registered,PS-Alserbach,2026-05-14 18:16:50 UTC,2026-05-11 00:00:00 UTC,true,false,20.20,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,3,1
steipete.net,,net,registered,PS-Alserbach,2026-05-14 19:05:46 UTC,2026-06-26 00:00:00 UTC,true,false,17.00,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,1
steipete.org,,org,registered,PS-Alserbach,2026-05-14 19:06:53 UTC,2026-06-26 00:00:00 UTC,true,false,14.30,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.dev,,dev,registered,PS-Alserbach,2026-05-14 19:15:54 UTC,2026-06-26 00:00:00 UTC,true,false,19.90,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,3,0
steipete.tv,,tv,registered,PS-Alserbach,2026-05-21 15:33:41 UTC,2026-07-03 00:00:00 UTC,true,false,38.20,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.page,,page,registered,PS-Alserbach,2026-05-24 07:12:02 UTC,2026-07-06 00:00:00 UTC,true,false,17.20,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.fyi,,fyi,registered,PS-Alserbach,2026-05-24 07:13:22 UTC,2026-07-06 00:00:00 UTC,true,true,,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
steipete.lol,,lol,registered,PS-Alserbach,2026-05-24 23:59:59 UTC,2026-07-06 00:00:00 UTC,true,false,42.90,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
interpose.io,,io,registered,PS-Alserbach,2026-05-31 13:26:58 UTC,2026-07-05 13:26:58 UTC,true,false,67.90,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
interposekit.com,,com,registered,PS-Alserbach,2026-05-31 13:27:00 UTC,2026-07-13 13:27:00 UTC,true,false,15.50,false,false,"ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org","ns1.dnsimple.com,ns2.dnsimple-edge.net,ns3.dnsimple.com,ns4.dnsimple-edge.org",true,false,,,0,0
